xrays,masks
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\0.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\0.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\1.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\1.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\2.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\2.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\3.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\3.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\4.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\4.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\5.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\5.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\6.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\6.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\7.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\7.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\8.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\8.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\9.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\9.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\10.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\10.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\11.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\11.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\12.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\12.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\13.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\13.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\14.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\14.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\15.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\15.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\16.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\16.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\17.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\17.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\18.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\18.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\19.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\19.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\20.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\20.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\21.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\21.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\22.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\22.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\23.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\23.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\24.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\24.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\25.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\25.png
G:\SAMK - Machine vision and CNN\project_1\data\Xrays\26.png,G:\SAMK - Machine vision and CNN\project_1\data\Masks\26.png
